"","Periodos","Captaciones_def","Acreedores_def","Interno_def","Externo_def","Otros_def"
"1","2009/07",3127012912.34515,1980719129.62682,242971995.824984,17452958.9754444,702061103.450268
"2","2009/08",3083943715.72336,1924095299.51752,237739627.764405,18444786.1200665,726944095.039601
"3","2009/09",3122932960.19955,1850566361.41148,259139857.164282,18758366.5639385,799329608.529731
"4","2009/10",3140513525.80829,1848009312.83909,225056052.09563,16390094.4522687,784904533.054227
"5","2009/11",3190523171.63129,1846503821.35383,224644621.579116,17083674.5264524,840504487.675821
"6","2009/12",3369435293.4483,1565608787.50084,216130297.320221,23293767.6496842,833069370.85691
"7","2010/01",3148959137.35759,1669350473.55899,157814465.231992,38578518.0007712,887142787.040144
"8","2010/02",3131607356.75243,1629933249.1574,162627835.706738,33699510.2139985,934601831.66252
"9","2010/03",3174291289.73702,1576770516.81734,167289709.643565,56545674.5717939,891455514.630936
"10","2010/04",3129639180.03425,1616617108.27614,163229711.225624,45979850.145093,930723980.689509
"11","2010/05",3143899099.1075,1734586140.58216,161665071.732033,30000616.6591792,913998488.811343
"12","2010/06",3243906674.69553,1476782293.036,156087887.611302,48047847.4565341,973804923.48782
"13","2010/07",3236028108.78816,1432677477.65265,159864058.722631,60922854.3989655,953507064.78606
"14","2010/08",3270175777.31688,1416466317.15814,160668008.098313,76606041.1483885,936347691.253674
"15","2010/09",3343605244.51878,1402623136.28116,163765656.525287,68848775.4836289,1046195361.1231
"16","2010/10",3320661838.21884,1388855529.39673,154861203.193094,108816501.004691,994563845.150384
"17","2010/11",3353684888.68839,1355942255.8836,155097157.586141,117361498.408217,1057441142.34479
"18","2010/12",3543871525.63232,1230246187.19837,165254110.866076,98378360.4876868,1038208214.83558
"19","2011/01",3371965166.26841,1356720351.79263,152341194.480717,132538898.627785,1044182808.23884
"20","2011/02",3379788711.66532,1427835647.10919,150981648.97101,126657123.97395,1014127291.98425
"21","2011/03",3437076366.96272,1468328363.1605,147614041.63925,120969426.251465,1005229182.94776
"22","2011/04",3403586009.25124,1467031112.72011,152453445.41799,128070187.296514,1101689419.80887
"23","2011/05",3391810074.60416,1458254549.52755,154834736.146316,106264644.010757,1055769901.66868
"24","2011/06",3477777210.04149,1445103624.44735,157753142.102592,122374092.979227,1032232627.13854
"25","2011/07",3416325305.4255,1428139727.81273,157076468.383854,138175766.005225,1080638312.77352
"26","2011/08",3448367097.34722,1403419610.10494,153812409.825838,122159034.106886,1089493756.73095
"27","2011/09",3582510522.30805,1330997455.70349,160260074.331244,137547945.198138,1005107212.67567
"28","2011/10",3530009528.31996,1429112552.91396,158391849.346165,129521629.103037,1026821262.86581
"29","2011/11",3521992311.38176,1527060025.3521,166138431.479442,132060936.566853,971211248.579795
"30","2011/12",3639046440.91563,1343345383.12453,175269562.243262,89226803.6032732,927344976.511152
"31","2012/01",3548198137.91414,1387514034.27094,161378314.445977,102187757.33754,973950535.720605
"32","2012/02",3493058855.68411,1411529566.02064,178739610.981501,79947182.348723,993322317.184856
"33","2012/03",3596925533.31434,1401561268.36568,201880366.19839,103605266.313321,907322240.059525
"34","2012/04",3533575909.81907,1552865049.2498,184272945.522183,53358012.9791764,941417751.827975
"35","2012/05",3565770847.23665,1486928680.56035,224489027.977866,66249559.4031904,925045774.403943
"36","2012/06",3667386757.65406,1337878857.95207,160927517.593009,82405644.1011688,983578039.229019
"37","2012/07",3562056949.61499,1539395342.94664,166428348.25371,56601290.7744847,951870447.505574
"38","2012/08",3602007825.0897,1512898395.29657,178767396.732853,79241187.4310533,880071107.461711
"39","2012/09",3658740328.45535,1467689608.63961,221386539.901764,65684815.4996994,895994855.491241
"40","2012/10",3642621091.10094,1633924611.11115,196031592.310027,42387791.5364247,825084002.956763
"41","2012/11",3725530864.24124,1601868458.36092,201052520.603371,64957363.4352636,853852756.585877
"42","2012/12",3885657083.96533,1388216160.84754,197583916.549506,46325474.6264799,833206436.295279
"43","2013/01",3757459450.2262,1511035839.13571,191035817.228219,54894706.1011778,781556621.681768
"44","2013/02",3732172435.45346,1558918604.8095,177650314.208296,42786615.6688169,854422936.61416
"45","2013/03",3756984868.45472,1516631925.05545,188579367.320652,65994672.4046195,821034471.466071
"46","2013/04",3726047396.0403,1543656732.48843,180043173.205057,49958183.031133,962635961.372758
"47","2013/05",3745388353.15764,1592002597.76059,202628251.027574,46258168.5000909,893524735.258287
"48","2013/06",3869143368.18529,1489892995.02415,171439087.574201,63705896.6252147,932870949.434781
"49","2013/07",3836901847.55341,1633328836.08795,167123039.252726,49397345.8697198,886449349.798194
"50","2013/08",3902063112.13656,1667025305.09988,182512913.148368,52673391.7731574,856914254.618361
"51","2013/09",3936343785.78458,1556586036.38133,187862274.465988,50288651.2178445,881726152.30966
"52","2013/10",3893383030.73566,1656705063.04359,201558218.888583,50774159.519196,881840457.374812
"53","2013/11",4007676557.57638,1635571920.2911,193806910.154622,46169080.1343107,907556717.695721
"54","2013/12",4120890207.3048,1591758198.55141,226833321.993863,73940106.1597318,843174046.532698
"55","2014/01",3976112248.3361,1638065990.86112,237343420.488575,60737009.4439741,945902310.245909
"56","2014/02",3940718429.41808,1691283059.13806,209763904.625686,55949028.1335692,846464082.167842
"57","2014/03",4079477434.49248,1605794477.30022,229682853.195985,56369736.7297193,978081653.226109
"58","2014/04",4120675974.50298,1730396085.55086,207355118.826774,48396206.1044947,1020085998.10094
"59","2014/05",4091887292.30462,1799471885.32639,230718492.240782,50692169.5918763,955410506.73097
"60","2014/06",4191143881.27901,1628388285.05357,192703406.686127,49046104.3103611,959946087.366178
"61","2014/07",4198001818.08998,1747349954.68057,199491474.658783,52770562.6591848,855557930.921064
"62","2014/08",4184327655.81329,1662128399.24067,196653436.530011,56682515.7424278,940345993.922634
"63","2014/09",4167124844.88953,1681880081.99068,199551384.328578,50494853.0949027,974388356.703082
"64","2014/10",4267180780.11924,1615612034.31358,210588681.775833,76119433.5726635,974331885.025395
"65","2014/11",4316726236.03619,1759478140.71815,246172667.052068,50043034.1674433,926497348.891706
"66","2014/12",4403871264.77165,1414886659.67096,270868669.64205,92368804.6514861,972111504.451285
"67","2015/01",4450810670.0916,1550662402.29668,233931917.181167,61688661.3632129,931154452.917696
"68","2015/02",4500241359.32384,1491372054.54119,225867229.691945,64921737.5641138,983921891.614856
"69","2015/03",4538476104.0729,1496258926.43538,209828316.920302,63178188.7910161,1079481940.18107
"70","2015/04",4556665899.2101,1665824321.24047,223162707.254753,58152613.9018571,980270227.56672
"71","2015/05",4564920478.09799,1677433597.04352,248193117.810535,53701309.2909651,1052692894.27948
"72","2015/06",4589140484.31299,1453571639.88234,229915817.135559,53002598.8069131,1140046393.8212
"73","2015/07",4615537963.57601,1550804750.19148,232795567.661374,45756273.5696355,1066073339.009
"74","2015/08",4648936892.87655,1495899066.28781,231807393.337454,54386830.0551248,1147942510.47917
