"","Periodos","Consumo_def","Vivienda_def","Empresas_def","Intermediarios_financieros_no_bancarios_Def","Programas_de_reestructura_Def"
"1","2009/07",594224.673278627,463957.360827829,1312396.65868953,66772.8458813583,28685.5144669906
"2","2009/08",588637.210380276,455202.961626631,1290513.8393898,66357.8905858149,28355.3282500449
"3","2009/09",577212.274967323,458073.77571411,1305148.07135588,65040.522451663,27960.7164936376
"4","2009/10",573386.979580246,461657.755406457,1296661.63458629,63294.6515568123,27664.3615904304
"5","2009/11",570964.521983973,483115.878954982,1298880.12340395,63716.8586838867,4233.68577961756
"6","2009/12",558749.220814169,489585.695343377,1315355.43648684,60006.2192448058,3817.20886421658
"7","2010/01",550346.151968152,492330.37105622,1297668.63991935,60561.0791090409,3787.46291027817
"8","2010/02",545185.772735831,492675.603886987,1293858.82650836,60314.9547904365,3742.98846782143
"9","2010/03",539349.97603506,492948.533922354,1285125.4571666,59980.8857759953,3704.17607277832
"10","2010/04",542005.630016041,497646.857206011,1285516.36206264,61123.1986410455,3714.96767085606
"11","2010/05",539844.61984826,499091.969863492,1304991.44617349,60170.1088573549,3668.65434760027
"12","2010/06",547792.11361873,502515.11860453,1309945.40634116,56046.8201939405,3626.26122478915
"13","2010/07",547595.623974596,505200.034333133,1296608.31727165,55975.748908813,3597.53925326582
"14","2010/08",554199.03426031,507190.38064522,1317266.52661263,54867.0421348294,3559.62914495099
"15","2010/09",557541.524293309,509599.295959576,1345678.68660799,54352.4353097873,3520.35956881659
"16","2010/10",564368.347940553,513222.306849171,1368280.34124951,55130.0868711593,3457.69003650848
"17","2010/11",573352.832902282,520588.36180239,1376189.54273223,55376.1085202546,2875.48139060636
"18","2010/12",572967.508781436,519109.172512164,1378646.17686961,52066.138115937,8365.59367846664
"19","2011/01",573889.0124324,511055.49784308,1384347.52680237,50620.7672357371,6458.55092734527
"20","2011/02",575894.950373431,510598.517222462,1395067.20248568,49696.7753783119,6432.68247658941
"21","2011/03",581266.767881888,513166.662052956,1408798.91147522,48029.2317686996,6417.46181683529
"22","2011/04",591475.015122195,514397.910682469,1393699.68135849,77332.6010857674,6391.32966639612
"23","2011/05",598769.29295433,542738.854940478,1404863.4346351,43768.1242135462,6375.78827866349
"24","2011/06",608304.922557912,544753.275561479,1401148.41954295,44401.8679271964,6305.64588782853
"25","2011/07",615923.31368283,543621.952448019,1414494.94219835,47400.993378776,6287.29726642696
